Season,Episode Number,Episode Title,Total Deaths,Victims
Season 1,N/A,Demons,4,"Two Unknown Animals - Killed and cooked by Emori off-screen, bodies shown.; Jacapo Sinclair - Bled to death after being stabbed in the stomach by Carl Emerson with a hunting knife."
Season 1,N/A,Join Or Die,9,None listed
Season 1,N/A,Red Sky at Morning,19,"Unnamed Polis Sentry - Stabbed in the eye by Indra with a nail. Consciousness preserved into the City of Light.; Briggs - Stabbed in the chest by Indra with a thrown knife.; Luna’s Brother - Killed by Luna during the conclave off-screen several years prior, mentioned.; Unnamed Polis Sentry - Shot in the chest by Chancellor Charles Pike with an assault rifle.; Unnamed Male Arkadia Guard - Shot in the chest by Chancellor Charles Pike with an assault rifle.; Hannah Green - Consciousness deleted from the city of light by Monty Green and Raven Reyes.; Otan - Consciousness deleted from the city of light by Monty Green and Raven Reyes.; Gideon - Consciousness deleted from the city of light by Monty Green and Raven Reyes.; Six Unknown Members of A.L.I.E.’s Cult - Consciousness deleted from the city of light by Monty Green and Raven Reyes.; Shay - Bled to death after being shot in the back by an unknown sea captain with an arrow using a crossbow on the orders of A.L.I.E.; Unnamed Floukru Warrior - Stabbed in the chest by Luna with a thrown dagger.; Two Unnamed Floukru Warriors - Throat slashed by Luna with a dagger."
Season 1,N/A,Perverse Instantiation: Part 1,9,Unnamed Sky Man - Shot in the neck by King Roan with an arrow using a bow.; Chase - Shot to death by Indra and Chancellor Charles Pike with assault rifles.; Unnamed Female Delinquent - Shot to death by Indra and Chancellor Charles Pike with assault rifles.; Three Unnamed Arkedia Guards - Shot to death by Indra and Chancellor Charles Pike with assault rifles.; Two Unnamed Trikru Warriors - Shot in the head by Chancellor Charles Pike with an assault rifle.
Season 1,N/A,Perverse Instantiation: Part 2,17,"Unnamed Male Trikru Warrior - Shot in the chest by Bellamy Blake with a snipe rifle.; Unnamed Sky Man - Shot in the chest by Bellamy Blake with a snipe rifle.; Unnamed Arkedia Guard - Neck snapped by Charles Pike.; Four Unnamed Male Members of A.L.I.E.’s Cult - Slashed across the chest and throat by Commander Lexa with a sword.; Two Unnamed Male Members of A.L.I.E.’s Cult - Slashed across the chest and back by Commander Lexa with a sword.; Unnamed Male Member of A.L.I.E.’s Cult - Slashed across the chest by Commander Lexa with a sword.; Unnamed Female Member of A.L.I.E.’s Cult - Slashed across the chest by Commander Lexa with a sword.; Unnamed Male Member of A.L.I.E.’s Cult - Stabbed in the chest by Commander Lexa with a sword off-camera, body shown.; Commander Ontari - Died of brain damage after she was hit in the head by Thelonious Jaha with pipe on the orders of A.L.I.E.; Unnamed Sky Man - Slashed across the chest by Octavia Blake with a sword.; Unnamed Male Trikru Warrior - Shot in the chest by Dr. Abby Griffin with a pistol.; Applied Lucent Intelligence Emulator/A.L.I.E. - Died after her code was erased by Clarke Griffin with the kill switch."
Season 1,N/A,Echoes,9,"Unnamed Female Rock Line Ambassador - Throat slashed by Ash/Echo with a sword.; Two Unnamed Azgeda Warriors - Stabbed in the chest by Octavia Blake with two daggers.; Unnamed Azgeda Healer - Impaled through the mouth by Octavia Blake with a thrown spear.; Four Unnamed Egyptian Scavengers - Burned alive by a death wave off-screen, bodies shown."
Season 1,N/A,Heavy Lies the Crown,8,"Ilian’s Father - Throat slashed by Illian with a knife on the orders of A.L.I.E. off-screen, body shown in a flashback.; Ilian’s Brother - Throat slashed by Illian with a knife on the orders of A.L.I.E., shown in a flashback.; Willa - Died of her injuries after being beaten multiple times by Illian on the orders of A.L.I.E., shown in a flashback.; Dakiva - Blown up by Monty Green with the hydro-generator.; Two Unnamed Azgeda Guards - Blown up Monty Green with the hydro-generator.; Tybe - Beaten to death by Riley, and unknown Farm Station slaves because of Monty Green."
Season 1,N/A,The Four Horsemen,49,"40 Unnamed Floukru Villagers - Died of acute radiation sickness after they ate irradiated fish off-screen, mentioned.; Adria - Died of acute radiation sickness after she ate irradiated fish.; Six Unnamed Floukru Villagers - Died of acute radiation sickness after they ate irradiated fish off-screen, bodies shown.; At Least One Unknown Person - Died of radiation poisoning off-screen, skeleton shown."
Season 1,N/A,A Lie Guarded,12,"Unnamed Male Ark Guard - Shot in the head by one of A.L.I.E.’s drones.; Nyko - Shot to death by one of A.L.I.E.’s drone while he was trying to save Luna.; Stevens - Throat slashed by Ash/Echo with a dagger on the orders of King Roan.; Six Unnamed Trikru Warriors - Killed by unknown Azgeda warriors on the orders of King Roan off-screen, bodies shown.; Harper McIntyre’s Father - Died of a hereditary illness off-screen several years prior, implied.; Unnamed Azgeda Warrior - Stabbed in the chest by Octavia Blake with a thrown dagger."
Season 1,N/A,The Tinder Box,1,None
Season 1,N/A,We Will Rise,6,"Unnamed Elderly Male Trikru Villager - Bled to death after being stabbed in the leg by an unknown Azgeda warrior with an axe off-screen, body shown.; Seiku - Stabbed to death by Esop and Anat off-screen, body shown.; Two Unnamed Ark Guards - Killed by Esop and Anat off-screen.; Anat - Stabbed in the chest by King Roan with his own dagger."
Season 1,N/A,Gimme Shelter,18,"Louis - Died after being exposed to radiation from the black rain accidentally caused by Harper McIntyre.; Mark Colton - Died after being exposed to radiation from the black rain off-screen, body shown in episode ""God Complex"".; Peter Colton - Died after being exposed to radiation from the black rain off-screen, body shown in episode ""God Complex"".; Erin - Died after being exposed to radiation from the black rain off-screen, body shown in episode ""God Complex"".; Samuel - Died after being exposed to radiation from the black rain off-screen, body shown in episode ""God Complex""."
Season 1,N/A,God Complex,19,"Unnamed Rock Line Thief/”Baylis” - Died after being exposed to radiation by Dr. Abby Griffin and Eric Jackson orchestrated by Emori.; 12 Unnamed Trikru Warriors - Died after they were exposed to radiation from the black rain off-screen, bodies shown."
Season 1,N/A,DNR,6,Three Unnamed Trikru Warriors - Shot in the chest by unknown Azgeda warriors with arrow using bows on the orders of Ash/Echo.; Unnamed Male Trishanakru Warriors - Slashed across the chest by Octavia Blake with a garden hoe tool.; Jacov - Stabbed through the chest by Octavia Blake with a garden hoe tool.
Season 1,N/A,"Die All, Die Merrily",12,"War Chief Gael Kom Ingranronakru - Stabbed in the abdomen with a sword, and then hit in the head by King Roan with his own hammer during the conclave.; Fio Kom Trikru - Slashed and stabbed in the chest by King Roan with a sword during the conclave.; Unnamed Male Sangedakru Champion - Shot in the back by Ash/Echo with an arrow using a bow during the conclave.; Unnamed Female Delfikru Champion - Accidentally stabbed in the chest by an unknown Boudalan Champion with an axe while he was trying to kill Ilian during the conclave. Proxy Kill.; Unnamed Male Boudalan Champion - Slashed across the head by Ilian with a spear during the conclave.; Unnamed Male Yujleda Champion - Arm cut off, and stabbed in the mouth by Octavia with Indra’s sword during the conclave.; Ilian - Shot through the neck by Ash/Echo with an arrow using a bow and then stabbed in the chest by Octavia Blake with a dagger at his own request during the conclave.; Mezi Kom Louwoda Klion Kru - Throat slashed by Luna with a spear during the conclave.; Unnamed Male Ouskejonkru Champion - Shot by Ash/Echo with an arrow using a bow during the conclave off-screen.; War Chief Guara - Impaled in the back by Luna with a thrown spear during the conclave.; King Roan - Drowned in a fountain by Luna during the conclave."
Season 1,N/A,The Other Side,12,"Riley - Died of a drug overdose after consuming jobi tea.; Raven Reyes - Committed suicide by freezing herself to death in an ice tank. Revived.; Hayes - Died of a drug overdose after consuming jobi tea off-screen, body shown.; Bree - Died of a drug overdose after consuming jobi tea off-screen, body shown.; Unnamed Male Delinquent - Died of a drug overdose after consuming jobi tea off-screen, body shown.; At Least Six Unnamed Sky People - Died of drug overdose after consuming jobi tea off-screen, bodies shown."
Season 1,N/A,The Chosen,8,Unnamed Male Grounder - Accidentally ran over by Bellamy Blake with a rover.; Unnamed Male Grounder - Shot through the neck by Ash/Echo with an arrow using a bow.; Two Unnamed Male Grounders - Shot in the chest and back by Ash/Echo with arrows using a bow.; Unnamed Male Grounder - Shot in the chest by Ash/Echo with an arrow using a bow.; Unnamed Male Grounder - Stabbed in the back by Ash/Echo with a thrown dagger.; Two Unnamed Male Grounders - Slashed across the chest by Ash/Echo with a sword.
Season 1,N/A,Praimfaya,371,Helios (Horse) - Incinerated by the death wave off-screen.; Zoran - Incinerated by the death wave off-screen.; Sienna - Incinerated by the death wave off-screen.; Osias - Incinerated by the death wave off-screen.; Pauna (Mutated Gorilla) - Incinerated by the death wave off-screen.; Ryder - Incinerated by the death wave off-screen. ( Debatable ); Del - Incinerated by the death wave off-screen. ( Debatable ); Geoff Hardy - Died of radiation poisoning off-screen after being exposed to radiation by Marcus Kane and Thelonious Jaha.; Sergeant David Miller - Died of radiation poisoning off-screen after being exposed to radiation by Marcus Kane and Thelonious Jaha.; Bryan - Died of radiation poisoning off-screen after being exposed to radiation by Marcus Kane and Thelonious Jaha.; Kara Cooper’s Husband - Died of radiation poisoning off-screen after being exposed to radiation by Marcus Kane and Thelonious Jaha.; Pei Chao - Died of radiation poisoning off-screen after being exposed to radiation by Marcus Kane and Thelonious Jaha.; Sonya Hassler - Died of radiation poisoning off-screen after being exposed to radiation by Marcus Kane and Thelonious Jaha.; Paula Sevaga - Died of radiation poisoning off-screen after being exposed to radiation by Marcus Kane and Thelonious Jaha.; Doug McCrae - Died of radiation poisoning off-screen after being exposed to radiation by Marcus Kane and Thelonious Jaha.; Unnamed Male Delinquent - Died of radiation poisoning off-screen after being exposed to radiation by Marcus Kane and Thelonious Jaha.
Season 1,N/A,Eden,35,"At Least Three Unknown Insects - Accidentally committed suicide by flying into Clarke Griffin’s rover, shown in a flashback.; Eagle - Shot by Clarke Griffin with a pistol off-camera, body shown in a flashback.; Unnamed Boy - Died of radiation poisoning off-screen, body shown in a flashback.; 23 Unnamed Louwoda Kliron Kru Villagers - Died of radiation poisoning off-screen, bodies shown in a flashback.; Fish - Stabbed in the side by Madi Griffin with a spear, shown in a flashback.; Fish - Stabbed in the side by Clarke Griffin with a thrown spear, shown in a flashback.; Fish - Stabbed by Clarke Griffin with a spear off-screen, body shown in a flashback.; Baines - Shot in the side of the head by Madi Griffin with a pistol.; Jenson - Shot in the head by Clarke Griffin with a pistol.; Unnamed Male Second Dawn Bunker Inhabitant - Slashed across the chest by an unknown second dawn bunker inhabitant with a sword on the orders of Octavia Blake."
Season 1,N/A,Red Queen,28,"Two Unnamed Azgeda Warriors - Throat slashed by unknown sky people with two knives on the orders of Kara Cooper six years prior, shown in a flashback.; Unnamed Sky Man - Beaten to death by unknown grounders off-camera six years prior, screams heard in a flashback.; Unnamed Male Grounder - Stabbed in the stomach by Octavia Blake with a sword six years prior, shown in a flashback.; Unnamed Male Grounder - Slashed across the chest by Octavia Blake with a sword six years prior, shown in a flashback.; Unnamed Male Azgeda Warrior - Stabbed in the abdomen by Octavia Blake with a sword six years prior, shown in a flashback.; Unnamed Female Grounder - Slashed across the back by Octavia Blake with a sword six years prior, shown in a flashback.; Unnamed Male Grounder - Slashed across the chest by Octavia Blake with a sword six years prior, shown in a flashback.; Unnamed Male Grounder - Slashed across the back by Octavia Blake with a sword six years prior, shown in a flashback.; Unnamed Male Grounder - Stabbed in the chest by Octavia Blake with a sword six years prior, shown in a flashback.; Unnamed Male Grounder - Slashed twice across the chest by Octavia Blake with a sword six years prior, shown in a flashback.; Unnamed Male Grounder - Stabbed in the head by Octavia Blake with a sword six years prior, shown in a flashback.; Two Unnamed Grounders - Slashed to death by Octavia Blake with a sword six years prior, shown in a flashback.; Two Unnamed Azgeda Warriors - Throat slashed by Octavia Blake with a sword six years prior, shown in a flashback.; Thelonious Jaha’s Wife - Died in an unspecified manner off-screen, implied in a flashback.; Chancellor Thelonious Jaha - Bled to death after being stabbed in the stomach by an unknown Azgeda warrior with a knife six years prior, shown in a flashback.; Unnamed Male Grounder - Slashed across the chest by Kara Cooper with a sword on the orders of Octavia Blake six years prior, shown in a flashback.; Unnamed Male Second Dawn Bunker Inhabitant - Throat slashed by Kara Cooper with a sword on the orders of Octavia Blake six years prior, shown in a flashback.; Unnamed Male Second Dawn Bunker Inhabitant - Slashed across the chest by Kara Cooper with a sword on the orders of Octavia Blake six years prior, shown in a flashback.; Unnamed Male Second Dawn Bunker Inhabitant – Slashed across the face by Kara Cooper with a sword on the orders of Octavia Blake six years prior, shown in a flashback.; Unnamed Female Second Dawn Bunker Inhabitant - Slashed across the stomach by Kara Cooper with a sword on the orders of Octavia Blake six years prior, shown in a flashback.; Four Unnamed Male Second Dawn Bunker Inhabitants - Killed by Kara Cooper with a sword on the orders of Octavia Blake off-screen six years prior, shown in a flashback."
Season 1,N/A,Sleeping Giants,40,"Rabe - Shot in the head by Clarke Griffin with a sniper rifle.; Unnamed Male Eligius Prisoner - Shot in the head by Charmaine Diyoza with a pistol as a mercy kill after being stabbed in the chest with a trap set by Clarke Griffin.; 34 Unnamed Eligius Guards and Crew - Killed by Paxton McCreary, Charmaine Diyoza, Nikki, Hugo, Jenson, Baines, Rabe, Kodiak, Falk, Harris, Wayne Szybunka, Dexter, Roz Rankin, Robert, Nash, Michael Vinson, Kuba, Virgil, Hatch, Warren, Ford, McAdams, Parker, Cash, Duf, Butler, Mullen and Lawson off-screen, mentioned in a video footage.; Captain Stevens - Throat slashed by Paxton McCreary with a knife, shown in a video footage.; Kodiak - Stabbed through the abdomen by Ash/Echo with a sword and then strangled to death by Bellamy Blake with wires.; Falk - Impaled in the throat by Madi Griffin with a thrown spear."
Season 1,N/A,Pandora's Box,357,"Unnamed Male Wonkru Warrior - Slammed against a wall by an unknown wonkru warrior, causing him to get impaled through the back on a pipe on the orders of Octavia Blake.; Unnamed Female Wonkru Warrior - Bludgeoned by an unknown wonkru warrior with a giant hammer on the orders of Octavia Blake.; Unnamed Male Wonkru Warrior - Stabbed in the chest with an axe and head smashed by Marcus Kane with a giant hammer with on the orders of Octavia Blake.; 352 Unknown Second Dawn Bunker Inhabitants - Killed each other in the arena on the orders of Octavia Blake off-screen, mentioned. 386 mentioned minus 30 previously counted and minus four counted later.; Unnamed Male Wonkru Warrior - Vaporized by Wayne Szybunka with a sonic drill while he was trying to kill Octavia Blake."
Season 1,N/A,Shifting Sands,13,Obika - Eaten from inside by parasitic worms.; 11 Unnamed Wonkru Warriors - Stabbed and slashed by razor blades from a sand storm.
Season 1,N/A,Exit Wounds,4,Dexter - Blown up with a bomb set by John Murphy and Emori.; Roz Rankin - Blown up with a bomb set by John Murphy and Emori.; Unnamed Male Wonkru Defector - Shot in the back by Kara Cooper with a sniper rifle on the orders of Octavia Blake.
Season 1,N/A,Acceptable Losses,2,"Karina - Bled to death off-screen after being shot in the back by Kara Cooper with a sniper rifle on the orders of Octavia Blake, body shown."
Season 1,N/A,How We Get to Peace,1,None listed
Season 1,N/A,Sic Semper Tyrannis,17,"Unnamed Male Wonkru Guard - Stabbed in the eye by Indra with a thrown knife.; Unnamed Male Eligius Prisoner - Shot to death by an unknown eligius prisoner with an assault rifle orchestrated by John Murphy.; Unnamed Male Eligius Prisoner - Stabbed in the stomach by Paxton McCreary with a knife orchestrated by John Murphy.; Unnamed Male Eligius Prisoner - Stabbed in the back by an unknown eligius prisoner with a machete orchestrated by John Murphy.; Unnamed Male Eligius Prisoner - Slashed across the chest with a machete and then throat slashed by Paxton McCreary with a knife orchestrated by John Murphy.; Unnamed Male Eligius Prisoner - Throat slashed by an unknown eligius prisoner with a crowbar orchestrated by John Murphy.; Unnamed Male Eligius Prisoner - Shot twice in the chest by Charmaine Diyoza with a pistol orchestrated by John Murphy.; Unnamed Male Eligius Prisoner - Shot in the chest by Charmaine Diyoza with a pistol orchestrated by John Murphy.; Unnamed Male Eligius Prisoner - Stabbed to death by Paxton McCreary with a knife orchestrated by John Murphy.; Unnamed Male Eligius Prisoner - Shot to death by Charmaine Diyoza with a pistol orchestrated by John Murphy off-camera, gunshot heard.; Unnamed Male Eligius Prisoner - Shot to death by Paxton McCreary with a pistol orchestrated by John Murphy off-camera, gunshot heard.; Two Unnamed Male Eligius Prisoners - Shot in the chest by Paxton McCreary with a pistol orchestrated by John Murphy.; Unnamed Eligius Prisoner - Shot in the chest by Paxton McCreary with a pistol while being used by Charmaine Diyoza as a shield orchestrated by John Murphy.; Unnamed Male Eligius Prisoner - Shot twice in the chest by Marcus Kane with a pistol orchestrated by John Murphy.; Robert - Stabbed in the chest by Paxton McCreary with a pickaxe."
Season 1,N/A,The Warriors Will,8,"Dr. Becca Franko/Bekka Pramheda - Burned at the stake by Reese Cadogan on the orders of Bill Cadogan, shown in a flashback.; Two Unnamed Male Eligius Prisoners - Bitten on the neck by Michael Vinson.; Unnamed Male Wonkru Defector - Shot in the head by Paxton McCreary with a pistol off-camera, body shown.; Unnamed Male Wonkru Defector - Shot in the head by Paxton McCreary with a pistol.; Unnamed Female Wonkru Defector - Shot in the head by Paxton McCreary with a pistol.; Cosser - Shot in the back of the head by Paxton McCreary with a pistol."
Season 1,N/A,The Dark Year,7,"Unnamed Male Eligius Prisoner - Stabbed in the chest by Ash/Echo with a thrown knife.; Unnamed Male Eligius Prisoner - Neck snapped by Miles Shaw with a belt carrier.; Unnamed Male Eligius Prisoner - Head smashed by Miles Shaw with an assault rifle.; Kahlan’s Brother - Killed by an unknown second dawn bunker inhabitant on the orders of Octavia Blake off-screen, mentioned in a flashback.; Kahlan - Shot in the chest by Octavia Blake with a pistol after refusing to eat human flesh because of Abby Griffin, shown in a flashback.; Unnamed Female Second Dawn Bunker Inhabitant - Shot in the chest by Octavia Blake with a pistol after refusing to eat human flesh because of Abby Griffin, shown in a flashback."
Season 1,N/A,Damocles: Part 1,420,Ethan Hardy - Shot in the chest by an unknown eligius prisoner with an assault rifle on the orders of Paxton McCreary.; 415 Unnamed Wonkru Warriors - Shot to death and vaporized by unknown eligius prisoners with assault rifles and sonic drills on the orders of Paxton McCreary.; Michael Vinson - Electrocuted to death by Abby Griffin with a shock collar.; Unnamed Male Eligius Prisoner - Shot in the neck by Clarke Griffin with a pistol.; Unnamed Male Eligius Prisoner - Shot in the head by Clarke Griffin with a pistol.
Season 1,N/A,Damocles: Part 2,621,"At Least Two Unknown Eligius Prisoners - Blown up by Ash/Echo when she shot a sonic drill with an arrow using a bow, causing it to explode.; Two Unnamed Male Eligius Prisoners - Shot to death by John Murphy with a minigun.; Unnamed Female Eligius Prisoner - Shot in the chest by Ash/Echo with an arrow using a bow.; At Least 11 Unnamed Eligius Prisoners - Blown up by Bellamy Blake when he shot a sonic drill with an assault rifle, causing it to explode.; Unnamed Male Eligius Prisoners - Shot in the chest by Miles Shaw with a pistol.; Virgil - Shot in the head by Miles Shaw with a pistol.; Kuba - Killed by either Madi Griffin. Bellamy Blake, Octavia Blake, Indra, Nathan Miller, Ash/Echo, Brell or unknown wonkru warriors off-screen.; At Least 299 Unnamed Eligius Prisoners - Killed by Madi Griffin. Bellamy Blake, Octavia Blake, Indra, Nathan Miller, Ash/Echo, Brell, and unknown wonkru warriors.; At Least 300 Unnamed Wonkru Warriors - Killed by Kuba, and unknown eligius prisoners off-screen.; Paxton ""Graveyard"" McCreary - Stomped on the head by Clarke Griffin off-camera.; Harper McIntyre - Died of a genetic disorder off-screen, mentioned in a video footage."
Season 1,N/A,Sanctum,1,None listed
Season 1,N/A,Red Sun Rising,8,"Dr. Simone Lightbourne I - Stabbed in the back by Russell Lightbourne with an axe while being under the influence of the red sun toxin 236 years prior, shown in a flashback.; Josephine Ada Lightbourne I - Throat slashed by Russell Lightbourne with an axe while being under the influence of the red sun toxin 236 years prior, shown in a flashback.; Faye Lee I - Shot in the chest by Russell Lightbourne with a pistol while being under the influence of the red sun toxin 236 years prior, shown in a flashback.; Caleb Mason I - Shot in the chest by Russell Lightbourne with a pistol while being under the influence of the red sun toxin 236 years prior, shown in a flashback.; Jasmine Mason I - Shot in the head by Russell Lightbourne with a pistol while being under the influence of the red sun toxin 236 years prior, shown in a flashback.; Victor Lee VII - Shot in the chest by Charmaine Diyoza with his own pistol.; Daniel Lee VI - Shot in the chest by Charmaine Diyoza with Victor Lee’s pistol."
Season 1,N/A,The Children of Gabriel,8,"Jonathan ""John"" Murphy - Died of seaweed toxin after being drowned by Bellamy Blake while being under the influence of the red sun toxin. Resurrected by Cillian on the orders of Russell Lightbourne VII.; Unnamed Male Child of Gabriel - Stabbed in the chest by Charmaine Diyoza with a thrown knife.; Russell Lightbourne’s Sister - Died of her injuries after being bitten by Russell Lightbourne’s dog off-screen several years prior, mentioned.; Unnamed Male Child of Gabriel - Stabbed in the chest by Octavia Blake with a sword.; Unnamed Male Child of Gabriel - Slashed across the chest by Octavia Blake with a sword.; Unnamed Male Child of Gabriel - Stabbed in the chest by Octavia Blake with a sword.; Unnamed Male Child of Gabriel - Stabbed in the chest by Octavia Blake with a sword off-camera."
Season 1,N/A,The Face Behind the Glass,140,"Four Unnamed Male Children of Gabriel - Shot to death by Charmaine Diyoza with a pistol.; Rose - Shot in the chest by Tosh with a pistol.; Tosh - Neck snapped by Octavia Blake.; Delilah Janice Workman - Mind wiped out by either Russell Lightbourne VII, Simone Lightbourne VI, Ryker Desai IX, Jasmine Mason VII, Miranda Mason VIII or Kaylee Lee VII off-screen.; Cillian - Committed suicide by slitting his own throat with a knife.; Ash/Echo’s Father - Killed by unknown Azgeda warriors on the orders of Queen Nia off-screen several years prior, mentioned.; Ash/Echo’s Mother - Killed by unknown Azgeda warriors on the orders of Queen Nia off-screen several years prior, mentioned.; Unnamed Man - Killed by unknown Azgeda warriors on the orders of Queen Nia off-screen several years prior, mentioned.; Russell Lightbourne I - Died in an unspecified manner off-screen, skeleton shown.; Russell Lightbourne II - Died in an unspecified manner off-screen, skeleton shown.; Russell Lightbourne III - Died in an unspecified manner off-screen, skeleton shown.; Russell Lightbourne IV - Died in an unspecified manner off-screen, skeleton shown.; Russell Lightbourne V - Died in an unspecified manner off-screen, skeleton shown.; Russell Lightbourne VI - Died in an unspecified manner off-screen, skeleton shown.; Simone Lightbourne II - Died in an unspecified manner off-screen, skeleton shown.; Simone Lightbourne III - Died in an unspecified manner off-screen, skeleton shown.; Simone Lightbourne IV - Died in an unspecified manner off-screen, skeleton shown.; Simone Lightbourne V - Died in an unspecified manner off-screen, skeleton shown.; Josephine Lightbourne II - Died in an unspecified manner off-screen, skeleton shown.; Josephine Ada Lightbourne III - Died in an unspecified manner off-screen, skeleton shown.; Josephine Ada Lightbourne IV - Died in an unspecified manner off-screen, skeleton shown.; Josephine Ada Lightbourne V - Died in an unspecified manner off-screen, skeleton shown.; Josephine Ada Lightbourne VI - Died in an unspecified manner off-screen, skeleton shown.; Ryker Desai I - Killed by Russell Lightbourne while being under the influence of the red sun toxin off-screen, skeleton shown.; Ryker Desai II - Died in an unspecified manner off-screen, skeleton shown.; Ryker Desai III - Died in an unspecified manner off-screen, skeleton shown.; Ryker Desai IV - Died in an unspecified manner off-screen, skeleton shown.; Ryker Desai V - Died in an unspecified manner off-screen, skeleton shown.; Ryker Desai VI - Died in an unspecified manner off-screen, skeleton shown.; Ryker Desai VII - Died in an unspecified manner off-screen, skeleton shown.; Ryker Desai VIII - Died in an unspecified manner off-screen, skeleton shown.; Priya Desai I - Killed by Russell Lightbourne while being under the influence of the red sun toxin off-screen, skeleton shown.; Priya Desai II - Died in an unspecified manner off-screen, skeleton shown.; Priya Desai III - Died in an unspecified manner off-screen, skeleton shown.; Priya Desai IV - Died in an unspecified manner off-screen, skeleton shown.; Priya Desai V - Died in an unspecified manner off-screen, skeleton shown.; Priya Desai VI - Died in an unspecified manner off-screen, skeleton shown.; Caleb Mason II - Died in an unspecified manner off-screen, skeleton shown.; Caleb Mason III - Died in an unspecified manner off-screen, skeleton shown.; Caleb Mason IV - Died in an unspecified manner off-screen, skeleton shown.; Caleb Mason V - Died in an unspecified manner off-screen, skeleton shown.; Caleb Mason VI - Died in an unspecified manner off-screen, skeleton shown.; Jasmine Mason II - Died in an unspecified manner off-screen, skeleton shown.; Jasmine Mason III - Died in an unspecified manner off-screen, skeleton shown.; Jasmine Mason IV - Died in an unspecified manner off-screen, skeleton shown.; Jasmine Mason V - Died in an unspecified manner off-screen, skeleton shown.; Jasmine Mason VI - Died in an unspecified manner off-screen, skeleton shown.; Miranda Mason I - Killed by Russell Lightbourne while being under the influence of the red sun toxin off-screen, skeleton shown.; Miranda Mason II - Died in an unspecified manner off-screen, skeleton shown.; Miranda Mason III - Died in an unspecified manner off-screen, skeleton shown.; Miranda Mason IV - Died in an unspecified manner off-screen, skeleton shown.; Miranda Mason V - Died in an unspecified manner off-screen, skeleton shown.; Miranda Mason VI - Died in an unspecified manner off-screen, skeleton shown.; Miranda Mason VII - Died in an unspecified manner off-screen, skeleton shown.; Victor Lee I - Killed by Russell Lightbourne while being under the influence of the red sun toxin off-screen, skeleton shown.; Victor Lee II - Died in an unspecified manner off-screen, skeleton shown.; Victor Lee III - Died in an unspecified manner off-screen, skeleton shown.; Victor Lee IV - Died in an unspecified manner off-screen, skeleton shown.; Victor Lee V - Died in an unspecified manner off-screen, skeleton shown.; Victor Lee VI - Died in an unspecified manner off-screen, skeleton shown.; Faye Lee II - Died in an unspecified manner off-screen, skeleton shown.; Faye Lee III - Died in an unspecified manner off-screen, skeleton shown.; Faye Lee IV - Died in an unspecified manner off-screen, skeleton shown.; Faye Lee V - Died in an unspecified manner off-screen, skeleton shown.; Faye Lee VI - Died in an unspecified manner off-screen, skeleton shown.; Daniel Lee I - Killed by Russell Lightbourne while being under the influence of the red sun toxin off-screen, skeleton shown.; Daniel Lee II - Died in an unspecified manner off-screen, skeleton shown.; Daniel Lee III - Died in an unspecified manner off-screen, skeleton shown.; Daniel Lee IV - Died in an unspecified manner off-screen, skeleton shown.; Daniel Lee V - Died in an unspecified manner off-screen, skeleton shown.; Kaylee Lee I - Killed by Russell Lightbourne while being under the influence of the red sun toxin off-screen, skeleton shown.; Kaylee Lee II - Died in an unspecified manner off-screen, skeleton shown.; Kaylee Lee III - Died in an unspecified manner off-screen, skeleton shown.; Kaylee Lee IV - Died in an unspecified manner off-screen, skeleton shown.; Kaylee Lee V - Died in an unspecified manner off-screen, skeleton shown.; Kaylee Lee VI - Died in an unspecified manner off-screen, skeleton shown."
Season 1,N/A,The Gospel of Josephine,2,Kaylee Lee VII - Stabbed in the neck by Josephine Lightbourne VIII with a knife.
Season 1,N/A,Memento Mori,6,"Joaquin - Head crushed by Ash/Echo with a rock as a mercy kill.; Unknown Flamekeeper - Killed by Sheidheda off-screen several years prior, mentioned.; Faye Lee - Consciousness deleted by Simone Lightbourne.; Victor Lee - Consciousness deleted by Simone Lightbourne.; Daniel Lee - Consciousness deleted by Simone Lightbourne."
Season 1,N/A,Nevermind,5,"Josephine Ada Lightbourne VII - Fell to her death after being thrown from a window by Kaylee Lee, shown in a flashback.; Dr. Gabriel Santiago I - Died of cancer off-screen, mentioned.; Isaac - Throat slashed by Josephine Lightbourne VII with a knife, shown in a flashback.; Baby Tai Jr. - Killed by Josephine Lightbourne VII off-screen, shown in a flashback."
Season 1,N/A,The Old Man and the Anomaly,6,"Gavin - Mind wiped out by Jade with his consent.; Xavier - Mind wiped out by Eduardo off-screen, mentioned.; Eduardo - Killed by Gabriel Santiago off-screen, mentioned.; Miranda Mason’s Lover - Throat slashed by Madi Griffin with a knife off-screen, body shown.; Miranda Mason VIII - Stabbed through the back of the neck by Madi Griffin with a knife."
Season 1,N/A,What You Take With You,5,"Unknown Child of Gabriel - Died in an unspecified manner off-screen, skeleton shown.; Unnamed Male Child of Gabriel - Throat slashed by Clarke Griffin with a machete.; Unnamed Female Child of Gabriel - Throat slashed by Clarke Griffin with a machete.; Jericho - Shot in the chest by Jade with an assault rifle."
